Year-Month,Date,Values
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,1378.97
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,2646.25
2022-04,03.04.2022,1378.97
2022-04,04.04.2022,1378.97
2022-04,04.04.2022,1378.97
2022-04,04.04.2022,1378.97
2022-04,04.04.2022,1378.97
